datetime,open,high,low,close,volume,ATR,trade_type,signals
2018-07-08 05:30:00,6753.48,6780.0,6667.44,6712.1,24622.947794,307.9906612029255,HOLD,0
2018-07-09 05:30:00,6712.1,6802.06,6612.24,6662.12,26732.40655,299.54989968843086,HOLD,0
2018-07-10 05:30:00,6662.78,6681.0,6263.0,6296.91,38560.672702,308.0106211392572,SHORT,-1
2018-07-11 05:30:00,6296.91,6406.0,6278.99,6378.07,28715.498487,295.082005343596,HOLD,0
2018-07-12 05:30:00,6378.07,6380.28,6070.0,6250.57,31306.663348,296.167576390482,HOLD,0
2018-07-13 05:30:00,6251.4,6350.0,6110.0,6214.57,26375.325286,292.15560664830474,HOLD,0
2018-07-14 05:30:00,6214.57,6335.0,6178.0,6251.99,17783.071999,282.5016347448544,HOLD,0
2018-07-15 05:30:00,6250.9,6395.0,6225.4,6353.01,22979.211508,274.4372322630791,HOLD,0
2018-07-16 05:30:00,6354.15,6747.3,6330.4,6723.35,36204.87708,284.6131442442878,REVERSE_SHORT_TO_LONG,2
2018-07-17 05:30:00,6723.33,7468.99,6652.04,7317.44,52105.423459,322.6372053696958,HOLD,0
2018-07-18 05:30:00,7317.44,7588.08,7225.38,7381.9,59487.64345,325.49883355757464,HOLD,0
2018-07-19 05:30:00,7381.88,7576.28,7270.0,7466.21,41218.256437,324.1260597320336,HOLD,0
2018-07-20 05:30:00,7468.86,7700.0,7273.0,7337.53,46140.313447,331.4741983226026,HOLD,0
2018-07-21 05:30:00,7337.47,7458.47,7211.0,7398.78,28886.490291,325.4738984424167,HOLD,0
2018-07-22 05:30:00,7399.25,7582.4,7335.5,7394.79,30270.21844,319.8614771251012,HOLD,0
2018-07-23 05:30:00,7394.78,7833.0,7375.0,7721.01,41646.346671,329.7285144733083,HOLD,0
2018-07-24 05:30:00,7721.65,8486.0,7696.0,8397.24,60121.163749,362.6050491537863,HOLD,0
2018-07-25 05:30:00,8397.24,8491.77,8050.0,8175.64,48257.649124,368.25968849994445,HOLD,0
